settlement_batch_id,credited_amount,value_date,utr_reference
SET-001,5950.00,2026-08-03,UTR-SET-001
SET-002,4700.00,2026-08-03,UTR-SET-002
SET-003,7450.00,2026-08-03,UTR-SET-003
SET-004,3450.00,2026-08-03,UTR-SET-004
SET-005,5700.00,2026-08-03,UTR-SET-005
SET-006,8200.00,2026-08-03,UTR-SET-006
SET-007,5700.00,2026-08-03,UTR-SET-007
SET-008,5450.00,2026-08-03,UTR-SET-008
SET-009,1730.00,2026-08-03,UTR-SET-009
SET-010,5440.00,2026-08-03,UTR-SET-010
,3470.00,2026-08-03,UTR-None
SET-011,2480.00,2026-08-03,UTR-SET-011
SET-012,1240.00,2026-08-03,UTR-SET-012
SET-013,3245.00,2026-08-03,UTR-SET-013
SET-014,490.00,2026-08-03,UTR-SET-014
SET-ORPHAN,999.00,2026-08-03,UTR-ORPHAN
