order_id,customer_ref,order_amount,currency,order_date,expected_settlement_by,status
ORD-0001,CUST-001,2000.00,INR,2026-08-01,2026-08-03,paid
ORD-0002,CUST-002,500.00,INR,2026-08-02,2026-08-04,paid
ORD-0003,CUST-003,500.00,INR,2026-08-03,2026-08-05,paid
ORD-0004,CUST-004,2000.00,INR,2026-08-04,2026-08-06,paid
ORD-0005,CUST-005,1000.00,INR,2026-08-05,2026-08-07,paid
ORD-0006,CUST-006,750.00,INR,2026-08-06,2026-08-08,paid
ORD-0007,CUST-007,750.00,INR,2026-08-07,2026-08-09,paid
ORD-0008,CUST-008,750.00,INR,2026-08-08,2026-08-10,paid
ORD-0009,CUST-009,2000.00,INR,2026-08-09,2026-08-11,paid
ORD-0010,CUST-010,500.00,INR,2026-08-10,2026-08-12,paid
ORD-0011,CUST-011,2000.00,INR,2026-08-11,2026-08-13,paid
ORD-0012,CUST-012,2000.00,INR,2026-08-12,2026-08-14,paid
ORD-0013,CUST-013,1500.00,INR,2026-08-13,2026-08-15,paid
ORD-0014,CUST-014,500.00,INR,2026-08-14,2026-08-16,paid
ORD-0015,CUST-015,1500.00,INR,2026-08-15,2026-08-17,paid
ORD-0016,CUST-016,1250.00,INR,2026-08-16,2026-08-18,paid
ORD-0017,CUST-017,500.00,INR,2026-08-17,2026-08-19,paid
ORD-0018,CUST-018,500.00,INR,2026-08-18,2026-08-20,paid
ORD-0019,CUST-019,500.00,INR,2026-08-19,2026-08-21,paid
ORD-0020,CUST-020,750.00,INR,2026-08-20,2026-08-22,paid
ORD-0021,CUST-021,750.00,INR,2026-08-01,2026-08-03,paid
ORD-0022,CUST-022,1500.00,INR,2026-08-02,2026-08-04,paid
ORD-0023,CUST-023,1500.00,INR,2026-08-03,2026-08-05,paid
ORD-0024,CUST-024,500.00,INR,2026-08-04,2026-08-06,paid
ORD-0025,CUST-025,1500.00,INR,2026-08-05,2026-08-07,paid
ORD-0026,CUST-026,750.00,INR,2026-08-06,2026-08-08,paid
ORD-0027,CUST-027,2000.00,INR,2026-08-07,2026-08-09,paid
ORD-0028,CUST-028,2000.00,INR,2026-08-08,2026-08-10,paid
ORD-0029,CUST-029,2000.00,INR,2026-08-09,2026-08-11,paid
ORD-0030,CUST-030,1500.00,INR,2026-08-10,2026-08-12,paid
ORD-0031,CUST-031,1250.00,INR,2026-08-11,2026-08-13,paid
ORD-0032,CUST-032,750.00,INR,2026-08-12,2026-08-14,paid
ORD-0033,CUST-033,1250.00,INR,2026-08-13,2026-08-15,paid
ORD-0034,CUST-034,1500.00,INR,2026-08-14,2026-08-16,paid
ORD-0035,CUST-035,1000.00,INR,2026-08-15,2026-08-17,paid
ORD-0036,CUST-036,500.00,INR,2026-08-16,2026-08-18,paid
ORD-0037,CUST-037,750.00,INR,2026-08-17,2026-08-19,paid
ORD-0038,CUST-038,2000.00,INR,2026-08-18,2026-08-20,paid
ORD-0039,CUST-039,1250.00,INR,2026-08-19,2026-08-21,paid
ORD-0040,CUST-040,1000.00,INR,2026-08-20,2026-08-22,paid
ORD-0041,CUST-041,1000.00,INR,2026-08-01,2026-08-03,paid
ORD-0042,CUST-042,750.00,INR,2026-08-02,2026-08-04,paid
ORD-0043,CUST-043,750.00,INR,2026-08-03,2026-08-05,paid
ORD-0044,CUST-044,1000.00,INR,2026-08-04,2026-08-06,paid
ORD-0045,CUST-045,500.00,INR,2026-08-05,2026-08-07,paid
ORD-0046,CUST-046,500.00,INR,2026-08-06,2026-08-08,paid
ORD-0047,CUST-047,1250.00,INR,2026-08-07,2026-08-09,paid
ORD-0048,CUST-048,500.00,INR,2026-08-08,2026-08-10,paid
ORD-0049,CUST-049,1000.00,INR,2026-08-09,2026-08-11,paid
ORD-0050,CUST-050,1000.00,INR,2026-08-10,2026-08-12,paid
ORD-0051,CUST-051,1500.00,INR,2026-08-11,2026-08-13,paid
ORD-0052,CUST-052,1000.00,INR,2026-08-12,2026-08-14,paid
ORD-0053,CUST-053,500.00,INR,2026-08-13,2026-08-01,paid
ORD-0054,CUST-054,2000.00,INR,2026-08-14,2026-08-01,paid
ORD-0055,CUST-055,1250.00,INR,2026-08-15,2026-08-17,paid
ORD-0056,CUST-056,1500.00,INR,2026-08-16,2026-08-18,paid
ORD-0057,CUST-057,500.00,INR,2026-08-17,2026-08-19,paid
ORD-0058,CUST-058,1250.00,INR,2026-08-18,2026-08-20,paid
ORD-0059,CUST-059,500.00,INR,2026-08-19,2026-08-21,paid
ORD-0060,CUST-060,1500.00,INR,2026-08-20,2026-08-22,paid
