settlement_batch_id,credited_amount,value_date,utr_reference
SET-001,5450.00,2026-08-03,UTR-SET-001
SET-002,3700.00,2026-08-03,UTR-SET-002
SET-003,8700.00,2026-08-03,UTR-SET-003
SET-004,5450.00,2026-08-03,UTR-SET-004
SET-005,6950.00,2026-08-03,UTR-SET-005
SET-006,5700.00,2026-08-03,UTR-SET-006
SET-007,6450.00,2026-08-03,UTR-SET-007
SET-008,6450.00,2026-08-03,UTR-SET-008
SET-009,3475.00,2026-08-03,UTR-SET-009
SET-010,5940.00,2026-08-03,UTR-SET-010
,3220.00,2026-08-03,UTR-None
SET-011,2230.00,2026-08-03,UTR-SET-011
SET-012,1490.00,2026-08-03,UTR-SET-012
SET-013,2740.00,2026-08-03,UTR-SET-013
SET-014,740.00,2026-08-03,UTR-SET-014
SET-ORPHAN-V2,999.00,2026-08-03,UTR-ORPHAN-V2
