txn_id,order_ref,gross_amount,fee,net_amount,currency,txn_date,settlement_batch_id
TXN-0001,ORD-0001,1250.00,10.00,1240.00,INR,2026-08-02,SET-001
TXN-0002,ORD-0002,1250.00,10.00,1240.00,INR,2026-08-02,SET-001
TXN-0003,ORD-0003,750.00,10.00,740.00,INR,2026-08-02,SET-001
TXN-0004,ORD-0004,1500.00,10.00,1490.00,INR,2026-08-02,SET-001
TXN-0005,ORD-0005,750.00,10.00,740.00,INR,2026-08-02,SET-001
TXN-0006,ORD-0006,750.00,10.00,740.00,INR,2026-08-02,SET-002
TXN-0007,ORD-0007,750.00,10.00,740.00,INR,2026-08-02,SET-002
TXN-0008,ORD-0008,750.00,10.00,740.00,INR,2026-08-02,SET-002
TXN-0009,ORD-0009,500.00,10.00,490.00,INR,2026-08-02,SET-002
TXN-0010,ORD-0010,1000.00,10.00,990.00,INR,2026-08-02,SET-002
TXN-0011,ORD-0011,2000.00,10.00,1990.00,INR,2026-08-02,SET-003
TXN-0012,ORD-0012,1250.00,10.00,1240.00,INR,2026-08-02,SET-003
TXN-0013,ORD-0013,1500.00,10.00,1490.00,INR,2026-08-02,SET-003
TXN-0014,ORD-0014,2000.00,10.00,1990.00,INR,2026-08-02,SET-003
TXN-0015,ORD-0015,2000.00,10.00,1990.00,INR,2026-08-02,SET-003
TXN-0016,ORD-0016,1500.00,10.00,1490.00,INR,2026-08-02,SET-004
TXN-0017,ORD-0017,500.00,10.00,490.00,INR,2026-08-02,SET-004
TXN-0018,ORD-0018,1500.00,10.00,1490.00,INR,2026-08-02,SET-004
TXN-0019,ORD-0019,1250.00,10.00,1240.00,INR,2026-08-02,SET-004
TXN-0020,ORD-0020,750.00,10.00,740.00,INR,2026-08-02,SET-004
TXN-0021,ORD-0021,1250.00,10.00,1240.00,INR,2026-08-02,SET-005
TXN-0022,ORD-0022,2000.00,10.00,1990.00,INR,2026-08-02,SET-005
TXN-0023,ORD-0023,1500.00,10.00,1490.00,INR,2026-08-02,SET-005
TXN-0024,ORD-0024,1500.00,10.00,1490.00,INR,2026-08-02,SET-005
TXN-0025,ORD-0025,750.00,10.00,740.00,INR,2026-08-02,SET-005
TXN-0026,ORD-0026,1000.00,10.00,990.00,INR,2026-08-02,SET-006
TXN-0027,ORD-0027,1250.00,10.00,1240.00,INR,2026-08-02,SET-006
TXN-0028,ORD-0028,2000.00,10.00,1990.00,INR,2026-08-02,SET-006
TXN-0029,ORD-0029,750.00,10.00,740.00,INR,2026-08-02,SET-006
TXN-0030,ORD-0030,750.00,10.00,740.00,INR,2026-08-02,SET-006
TXN-0031,ORD-0031,1250.00,10.00,1240.00,INR,2026-08-02,SET-007
TXN-0032,ORD-0032,2000.00,10.00,1990.00,INR,2026-08-02,SET-007
TXN-0033,ORD-0033,750.00,10.00,740.00,INR,2026-08-02,SET-007
TXN-0034,ORD-0034,1500.00,10.00,1490.00,INR,2026-08-02,SET-007
TXN-0035,ORD-0035,1000.00,10.00,990.00,INR,2026-08-02,SET-007
TXN-0036,ORD-0036,500.00,10.00,490.00,INR,2026-08-02,SET-008
TXN-0037,ORD-0037,2000.00,10.00,1990.00,INR,2026-08-02,SET-008
TXN-0038,ORD-0038,1500.00,10.00,1490.00,INR,2026-08-02,SET-008
TXN-0039,ORD-0039,2000.00,10.00,1990.00,INR,2026-08-02,SET-008
TXN-0040,ORD-0040,500.00,10.00,490.00,INR,2026-08-02,SET-008
TXN-0041,ORD-0041,1265.00,10.00,1255.00,INR,2026-08-02,SET-009
TXN-0042,ORD-0042,1000.00,10.00,990.00,INR,2026-08-02,SET-009
TXN-0043,ORD-0043,1250.00,20.00,1230.00,INR,2026-08-02,SET-009
TXN-0044,ORD-0048,1250.00,10.00,1240.00,INR,2026-08-02,SET-010
TXN-0045,ORD-0048,1250.00,10.00,1240.00,INR,2026-08-02,SET-010
TXN-0046,ORD-0049,750.00,10.00,740.00,INR,2026-08-02,SET-010
TXN-0047,ORD-0049,750.00,10.00,740.00,INR,2026-08-02,SET-010
TXN-0048,ORD-0050,1000.00,10.00,990.00,INR,2026-08-02,SET-010
TXN-0049,ORD-0050,1000.00,10.00,990.00,INR,2026-08-02,SET-010
TXN-0050,ORD-0051,1500.00,10.00,1490.00,INR,2026-08-02,
TXN-0051,ORD-0052,500.00,10.00,490.00,INR,2026-08-02,
TXN-0052,ORD-0053,1250.00,10.00,1240.00,INR,2026-08-02,
TXN-0053,ORD-0054,1500.00,10.00,1490.00,INR,2026-08-02,SET-011
TXN-0054,ORD-0055,750.00,10.00,740.00,INR,2026-08-02,SET-011
TXN-0055,ORD-0056,1500.00,10.00,1490.00,USD,2026-08-02,SET-012
TXN-0056,ORD-0057,1250.00,10.00,1240.00,INR,2026-08-02,SET-013
TXN-0057,ORD-0058,500.00,10.00,490.00,INR,2026-08-02,SET-013
TXN-0058,ORD-0059,1000.00,10.00,990.00,INR,2026-08-02,SET-013
TXN-MALFORM-V2,ORD-0060,invalid,10.00,740.00,INR,2026-08-02,SET-014
TXN-ORPH-V2-0,ORD-DOES-NOT-EXIST-V2,100.00,2.00,98.00,INR,2026-08-01,SET-X-V2
TXN-ORPH-V2-1,ORD-DOES-NOT-EXIST-V2,100.00,2.00,98.00,INR,2026-08-01,SET-X-V2
